address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
3906 S 12th St,Pizza,Tacoma,US,us/wa/tacoma/3906s12thst/-2067748011,47.24998,-122.48963,5.49,5.49,USD,"2017-01-16T18:10:13Z,2016-03-21T01:45:09Z",With 2 cups of pizza sauce,With Pizza Cheese,Pizza Time,98405,,0,0,WA
859 Belmont Ave S W,Pizza Place,Albany,US,us/or/albany/859belmontavesw/-1898336214,44.59057117,-123.1109365,6.95,6.95,USD,2016-04-01T06:58:08Z,,Taco Pizza,Ciddici's,97321,,0,0,OR
340 W Broad St,Restaurant,Burlington,US,us/burlngtncity/burlington/340wbroadst/-2126961349,40.075024,-74.865974,2,2,USD,2016-05-03T09:08:31Z,,Pizza Slice,Francesco Pizzeria and Ristorante,8016,,0,0,Burlngtn City
340 W Broad St,Restaurant,Burlington,US,us/burlngtncity/burlington/340wbroadst/-2126961349,40.075024,-74.865974,13.95,13.95,USD,2016-05-03T09:08:31Z,,Sicilian Cheese Pizza,Francesco Pizzeria and Ristorante,8016,,0,0,Burlngtn City
340 W Broad St,Restaurant,Burlington,US,us/burlngtncity/burlington/340wbroadst/-2126961349,40.075024,-74.865974,10.5,10.5,USD,2016-05-03T09:08:31Z,With ricotta and mozzarella cheese.,White Pizza,Francesco Pizzeria and Ristorante,8016,,0,0,Burlngtn City
420 N Middletown Rd,Seafood Restaurants,Pearl River,US,us/ny/pearlriver/420nmiddletownrd/-1911791845,41.07429,-74.01288,9.95,9.95,USD,2016-08-16T00:00:00Z,"Tomato, mozzarella, oregano, fresh basil",Margherita Pizza,AquaTerra Grille,10965,USD,50,55,NY
420 N Middletown Rd,Seafood Restaurants,Pearl River,US,us/ny/pearlriver/420nmiddletownrd/-1911791845,41.07429,-74.01288,9.95,9.95,USD,2016-07-06T20:03:03Z,"Tomato, mozzarella, oregano, fresh basil",Margherita Pizza,AquaTerra Grille,10965,USD,50,55,NY
550 Main St,Food And Dining,Cincinnati,US,us/oh/cincinnati/550mainst/-348772540,39.10278,-84.51006,3.95,3.95,USD,2016-03-27T05:33:09Z,,Pizza Burger,Cafe Americana,45202-5211,,0,0,OH
550 Main St,Food And Dining,Cincinnati,US,us/oh/cincinnati/550mainst/-348772540,39.10278,-84.51006,4.95,4.95,USD,2016-03-27T05:33:09Z,,Pizza or Mushroom Hoagie,Cafe Americana,45202-5211,,0,0,OH
1325 Us Highway 206,Sushi Restaurant,Skillman,US,us/nj/skillman/1325ushighway206/-20223626,40.404377,-74.649414,9,9,USD,2016-06-04T20:31:16Z,"Pan fried pancake topped w. seaweed salad, spicy tuna or spicy salmon",Sushi Pizza,Ya Ya Noodles Chinese Restaurant,8558,USD,25,40,NJ
1788 N Atherton St,Sandwich Place,State College,US,us/pa/statecollege/1788nathertonst/-1277410055,40.80853025,-77.90099013,8.6,8.6,USD,2016-06-09T19:58:05Z,"Pepperoni, salami, onions, pizza sauce, provolone.",4. Pizza Cheese Steak,Penn State Sub Shop #3,16803,USD,0,25,PA
1788 N Atherton St,Sandwich Place,State College,US,us/pa/statecollege/1788nathertonst/-1277410055,40.80853025,-77.90099013,7.5,7.5,USD,2016-06-09T19:58:05Z,,Cheese Pizza,Penn State Sub Shop #3,16803,USD,0,25,PA
1788 N Atherton St,Sandwich Place,State College,US,us/pa/statecollege/1788nathertonst/-1277410055,40.80853025,-77.90099013,7.95,7.95,USD,2016-06-09T19:58:05Z,"Salami, pepperoni, shrooms, onions, provolone.",Pizza Sub,Penn State Sub Shop #3,16803,USD,0,25,PA
1788 N Atherton St,Sandwich Place,State College,US,us/pa/statecollege/1788nathertonst/-1277410055,40.80853025,-77.90099013,6.25,6.25,USD,2016-06-09T19:58:05Z,"Salami, pepperoni, shrooms, onions, provolone.",Pizza Sub Wrap,Penn State Sub Shop #3,16803,USD,0,25,PA
980 Razorback Dr,Restaurants,Houghton,US,us/mi/houghton/980razorbackdr/-2093720949,47.112873,-88.58666,6.99,6.99,USD,2016-04-05T03:16:18Z,Veggie patch pizzaTM,Veggie Patch Pizza,Applebee's,49931,USD,25,40,MI
2420 Columbia House Blvd,Restaurants,Vancouver,US,us/wa/vancouver/2420columbiahouseblvd/-603376946,45.618797,-122.64629,8.95,8.95,USD,2016-10-23T21:48:35Z,,Cheese Pizza,Freshii,98661,,0,0,WA
2420 Columbia House Blvd,Restaurants,Vancouver,US,us/wa/vancouver/2420columbiahouseblvd/-603376946,45.618797,-122.64629,5.5,5.5,USD,2016-10-23T21:48:35Z,,Pepperoni Pizza,Freshii,98661,,0,0,WA
